name,status,country_code,funding_total_usd,category_list
eMotion Technologies,operating,ISR,10000,Games
Microstrip Planar Antennas,operating,ISR,800000,Messaging
Integrity Applications,ipo,ISR,22607446,Health Care
RBNanDoors,operating,ISR,11000000,Design|Manufacturing|Public Safety|Security
Mobilicom,operating,ISR,Nan,Mobile Commerce|Telecommunications|Wireless
CyActive,acquired,ISR,Nan,Security|Software
PerSimiO,operating,ISR,Nan,Medical
ReDent Nova,operating,ISR,2700000,Health Care|Medical Devices
SCADAfence,operating,ISR,Nan,Cyber Security|Homeland Security|Network Security|Security
L7 Defense,operating,ISR,750000,Cyber|Cyber Security|IT and Cybersecurity
Viewbix,operating,ISR,6100000,Facebook Applications|Internet Marketing|Messaging|Music|Network Security|Photo Sharing|Social Media|Video Streaming
Leverate,operating,ISR,12500000,Finance Technology|FinTech
Universal Ad,closed,ISR,11000000,Advertising|Promotional|Retail
Secure Islands Technologies,acquired,ISR,11100000,Security
Yoggie Security Systems,acquired,ISR,2800000,Hardware + Software
Atlantium,operating,ISR,9000000,Clean Technology
Cognilyze,operating,ISR,Nan,Artificial Intelligence|E-Commerce Platforms|Personalization
cSafe,closed,ISR,8500000,
Degania Medical,operating,ISR,27000000,Health and Wellness|Medical Devices|Pharmaceuticals
eBIZ.mobility,closed,ISR,1100000,E-Commerce
Omek Interactive,acquired,ISR,15800000,Software
Qoof,closed,ISR,1700000,E-Commerce|Video|Web Tools
Amiad,ipo,ISR,9000000,Clean Technology
Brainsgate,operating,ISR,60500000,Health Care
Caesarea Medical Electronics,operating,ISR,100000000,Hardware + Software
CellEra,operating,ISR,11200000,Clean Technology
Change Labs,operating,ISR,800000,
ColorChip,operating,ISR,70200000,Semiconductors
ciValue,operating,ISR,550000,B2B|Internet Marketing
Dune Medical Devices,operating,ISR,26500000,Health Care
Emefcy,operating,ISR,Nan,Clean Technology
Endymed,ipo,ISR,7000000,Biotechnology|Medical Devices
Evolita,operating,ISR,550000,Analytics
Furious Corp,closed,ISR,1126000,Publishing|Television|Video
Itamar Medical,operating,ISR,28400000,Medical Devices
LifeBond Ltd.,operating,ISR,55000000,Biotechnology
Mindguard,operating,ISR,15000000,Medical Devices
MobiliBuy,operating,ISR,2100000,E-Commerce|Mobile|Mobile Commerce|Retail
Revuze,operating,ISR,550000,E-Commerce
TapReason,operating,ISR,Nan,Algorithms|Apps|Mobile|SaaS
Wilocity,acquired,ISR,55000000,Semiconductors
XACT Robotics,operating,ISR,5000000,Technology
Zollo,operating,ISR,900000,Curated Web
Protalix BioTherapeutics,operating,ISR,10000000,Biotechnology
Folloyu,operating,ISR,Nan,E-Commerce
Geev.Me Tech,operating,ISR,170000,Mobile
dax Asparna,operating,ISR,2350000,Internet|Mobile|Mobile Devices
Xrispi Labs Ltd.,operating,ISR,300000,Content Discovery|Internet Marketing|Social Media|Social Media Marketing
udobu,operating,ISR,Nan,Entertainment|Music Venues|Sports|Sports Stadiums|Ticketing
ActiViews,acquired,ISR,10000000,Health Care
Applied Immune Technologies,operating,ISR,4000000,Biotechnology
APProtect,operating,ISR,750000,Security
CandorMap,operating,ISR,Nan,Analytics|Big Data Analytics|Business Intelligence|Information Technology|Risk Management|Text Analytics
CrazyLister,operating,ISR,316770.5509,Design|E-Commerce|Optimization|SaaS
DensBits Technologies,operating,ISR,Nan,Semiconductors|Storage
EverCloud,operating,ISR,Nan,Cloud Computing|Information Technology|SaaS|Virtualization
FilesX,acquired,ISR,7500000,Software
GBooking,operating,ISR,1300000,Information Services|Information Technology|Small and Medium Businesses|Software
GeniusMatcher,operating,ISR,56874,3D|Indoor Positioning|Software|Virtual Worlds
HyperBanner Networks,operating,ISR,4000000,Advertising
Lalalama Ltd,operating,ISR,150000,Consulting|Social Media
Pluristem Therapeutics,ipo,ISR,21370003,Biotechnology|Pharmaceuticals
Prontoly,operating,ISR,800000,Mobile|SaaS|Software
Sol Chip,operating,ISR,5000000,Clean Technology|Semiconductors
TenKod,operating,ISR,670000,Cloud Computing|Data Integration|Mobile|Software|Testing
VibeSec,operating,ISR,800000,Enterprise Software
Actifile,operating,ISR,100000,Information Security|Software
NSO Group,operating,ISR,1600000,Cyber Security|Defense|Startups
Proonto,operating,ISR,860000,Analytics|Customer Service|Customer Support Tools|Direct Sales|E-Commerce|Marketplaces|SaaS
Amimon,operating,ISR,52120000,Semiconductors
Aorato,acquired,ISR,11000000,Enterprise Security|Network Security|Security
AppsFlyer,operating,ISR,27100000,Advertising|Android|Apps|App Stores|iOS|Mobile|Mobile Analytics|Sales and Marketing
Aqwise,operating,ISR,8100000,Clean Technology|Water
Askourt Ltd.,operating,ISR,Nan,
BNanObvious,operating,ISR,1000000,Web Hosting
BloggersBase,operating,ISR,125000,Blogging Platforms|Curated Web|Journalism
CNanB4,operating,ISR,6000000,Productivity Software
Cloudius Systems,operating,ISR,7000000,Cloud Computing|Enterprise Software
ComAbility,operating,ISR,6000000,Public Relations
Consumer Physics,operating,ISR,15981216,Hardware
Convergin,acquired,ISR,10000000,Web Hosting
Dblur Technologies,operating,ISR,6000000,Software
Delver,acquired,ISR,4000000,Networking|Search|Social Search
Dropico Mobile,operating,ISR,1000000,Apps|Curated Web|Mobile|Photography
Elastifile,operating,ISR,8000000,Software|Storage
ElMindA,operating,ISR,28000000,Diagnostics
Eloxx,operating,ISR,Nan,Biotechnology|Pharmaceuticals
EndoSpan,operating,ISR,10000000,Biotechnology
Enure Networks,closed,ISR,13000000,Software
eSnips,acquired,ISR,5000000,File Sharing|Media|Social Media|Storage|Web Hosting
Ethos Networks,operating,ISR,12000000,Public Relations
Extreme Reality,operating,ISR,18000000,3D|Games|Motion Capture
EyeSight Mobile Technologies,operating,ISR,10900000,Software
Flash Networks,operating,ISR,31295270,Internet|Mobile
Genieo Innovation,acquired,ISR,3000000,Ad Targeting|CRM|Internet|News|Personalization|Privacy|Web Design
Iguaz.io,operating,ISR,15000000,Software
Infima Technologies,closed,ISR,630000,Software|Web Hosting
Infinidat,operating,ISR,230000000,Databases|Data Security|Storage
IntSights Cyber Intelligence,operating,ISR,1800000,Cyber Security|Information Technology|Services
Keystone Heart,operating,ISR,14000000,Health and Wellness|Health Care|Medical|Medical Devices
KitLocate,acquired,ISR,750000,Analytics|Apps|Location Based Services|Media|Mobile|Software|Technology
Logia Group,closed,ISR,2500000,Mobile
Mapme,operating,ISR,1000000,Maps
MediCope,operating,ISR,Nan,Consumer Internet
MentorWave Technologies,acquired,ISR,3500000,Software
Mobile Max Technologies,operating,ISR,5000000,Mobile|Unifed Communications
mPharma,operating,ISR,Nan,Pharmaceuticals
mPortico,closed,ISR,3750000,Distribution|Mobile
MUV Interactive,operating,ISR,4000000,EdTech|Education|Hardware + Software|Internet of Things|Presentations|Wearables
nanoRep,operating,ISR,Nan,Customer Service|Customer Support Tools|SaaS|Software
Neocrafts,operating,ISR,5500000,Music
Niragongo,operating,ISR,Nan,Internet|Software|Technology|Wireless
Nogacom,operating,ISR,Nan,Data Security|Enterprises|Information Services|Software
Nyotron,operating,ISR,10000000,Computers
Odysii,acquired,ISR,20000000,Digital Signage|Sales and Marketing|Software
PayItSimple,operating,ISR,10000000,Finance|FinTech
Physihome,operating,ISR,Nan,Sports
PiNanCardia,operating,ISR,Nan,Healthcare Services|Medical Devices|Startups
Pursway,operating,ISR,17100000,Analytics
RapidAPI,operating,ISR,600000,Apps|Cloud Computing|Real Time
Real,operating,ISR,300000,Brokers|Real Estate|Technology
SafeDK,operating,ISR,2250000,Apps|Internet|Real Time|Security
SETiT,operating,ISR,60000,Events|Mobile
Shellanoo Group,operating,ISR,35000000,Apps|Internet|Mobile
Shortcut Nan just ask,operating,ISR,200000,
Siverge Networks,operating,ISR,12000000,Semiconductors
SMT Research and Development,closed,ISR,10500000,Health Care
Somatix,closed,ISR,750000,Analytics|Health Care|Wearables
Sportingo,acquired,ISR,3200000,News|Sports
Stratoscale,operating,ISR,42000000,Software
Tehuti Networks,operating,ISR,4200000,Semiconductors
TrekCafe,operating,ISR,Nan,Networking|Social Media|Travel
Volas Entertainment,acquired,ISR,Nan,Content|Games|Mobile|Portals
Vollee,operating,ISR,11500000,Games
XPlace,operating,ISR,Nan,Freelancers|Marketplaces|Software
BondIT,operating,ISR,16249,Finance
CorAssist,operating,ISR,9,Health Care|Medical|Medical Devices
Altair Semiconductor,operating,ISR,124000000,Semiconductors
Clarizen,operating,ISR,91000000,Cloud Computing|Collaboration|Online Scheduling|Project Management|SaaS|Software
CyberX,operating,ISR,2020000,Security
Epos,operating,ISR,15500000,Hardware + Software
