,st_fips,st_year,st_state,st_stateabb,st_total,st_dem,st_rep,st_repshare,st_demshare,st_income,st_inc10k
0,1,1968,Alabama,AL,1050,197,147,0.427325576543808,0.5726743936538696,11662.7568359375,1.1662757396697998
1,2,1968,Alaska,AK,83,35,38,0.5205479264259338,0.4794520437717438,20388.44921875,2.0388448238372803
2,4,1968,Arizona,AZ,487,171,267,0.6095890402793884,0.3904109597206116,14864.884765625,1.4864884614944458
3,5,1968,Arkansas,AR,610,185,189,0.5053476095199585,0.4946524202823639,11124.0810546875,1.11240816116333
4,6,1968,California,CA,7252,3244,3468,0.5166865587234497,0.4833134710788727,19362.400390625,1.9362400770187378
5,8,1968,Colorado,CO,811,335,409,0.5497311949729919,0.45026880502700806,15724.201171875,1.5724201202392578
6,9,1968,Connecticut,CT,1256,622,557,0.47243425250053406,0.5275657176971436,20666.337890625,2.066633701324463
7,10,1968,Delaware,DE,214,89,97,0.5215053558349609,0.4784946143627167,18857.92578125,1.88579261302948
8,12,1968,Florida,FL,2188,677,887,0.5671355724334717,0.4328644573688507,15621.5966796875,1.5621596574783325
9,13,1968,Georgia,GA,1250,334,380,0.5322129130363464,0.46778711676597595,13449.79296875,1.3449792861938477
10,15,1968,Hawaii,HI,236,141,91,0.39224138855934143,0.607758641242981,19422.25390625,1.9422253370285034
11,16,1968,Idaho,ID,291,89,165,0.6496062874794006,0.35039371252059937,13847.38671875,1.3847386837005615
12,17,1968,Illinois,IL,4620,2040,2175,0.5160142183303833,0.4839857518672943,18562.9375,1.856293797492981
13,18,1968,Indiana,IN,2124,807,1068,0.569599986076355,0.430400013923645,15758.4033203125,1.5758403539657593
14,19,1968,Iowa,IA,1168,477,619,0.5647810101509094,0.4352189898490906,15630.146484375,1.5630146265029907
15,20,1968,Kansas,KS,873,303,479,0.6125319600105286,0.38746803998947144,15176.9755859375,1.5176975727081299
16,21,1968,Kentucky,KY,1056,398,462,0.5372093319892883,0.46279069781303406,12624.677734375,1.2624677419662476
17,22,1968,Louisiana,LA,1097,310,258,0.4542253613471985,0.5457746386528015,12346.7900390625,1.2346789836883545
18,23,1968,Maine,ME,393,217,169,0.4378238320350647,0.5621761679649353,13385.6650390625,1.338566541671753
19,24,1968,Maryland,MD,1235,538,518,0.4905303120613098,0.5094696879386902,17938.7578125,1.793875813484192
20,25,1968,Massachusetts,MA,2332,1469,767,0.34302327036857605,0.6569767594337463,17960.1328125,1.7960132360458374
21,26,1968,Michigan,MI,3306,1593,1371,0.4625506103038788,0.5374494194984436,17780.57421875,1.7780574560165405
22,27,1968,Minnesota,MN,1589,858,659,0.4344100058078766,0.565589964389801,16104.6943359375,1.6104694604873657
23,28,1968,Mississippi,MS,655,151,89,0.3708333373069763,0.6291666626930237,10213.462890625,1.0213463306427002
24,29,1968,Missouri,MO,1810,791,812,0.5065501928329468,0.49344977736473083,15249.6533203125,1.5249652862548828
25,30,1968,Montana,MT,274,114,139,0.5494071245193481,0.45059287548065186,14018.39453125,1.4018394947052002
26,31,1968,Nebraska,NE,537,171,321,0.6524389982223511,0.34756097197532654,15262.4794921875,1.5262479782104492
27,32,1968,Nevada,NV,154,61,73,0.5447761416435242,0.4552238881587982,19276.896484375,1.9276896715164185
28,33,1968,New Hampshire,NH,297,131,155,0.5419580340385437,0.4580419659614563,15972.1630859375,1.5972163677215576
29,34,1968,New Jersey,NJ,2875,1264,1325,0.5117806196212769,0.48821938037872314,19289.720703125,1.9289721250534058
30,35,1968,New Mexico,NM,327,130,170,0.5666666626930237,0.4333333373069763,12440.8447265625,1.2440844774246216
31,36,1968,New York,NY,6790,3378,3008,0.4710303843021393,0.5289696455001831,19614.63671875,1.9614636898040771
32,37,1968,North Carolina,NC,1587,464,627,0.5747020840644836,0.42529788613319397,12979.5205078125,1.2979520559310913
33,38,1968,North Dakota,ND,248,95,139,0.5940170884132385,0.4059829115867615,13150.5283203125,1.31505286693573
34,39,1968,Ohio,OH,3960,1701,1791,0.5128865838050842,0.48711341619491577,16758.80078125,1.6758800745010376
35,40,1968,Oklahoma,OK,943,302,450,0.5984042286872864,0.40159574151039124,13680.6533203125,1.368065357208252
36,41,1968,Oregon,OR,820,359,408,0.53194260597229,0.4680573642253876,15664.3486328125,1.5664348602294922
37,42,1968,Pennsylvania,PA,4748,2259,2090,0.4805702567100525,0.5194297432899475,16288.5283203125,1.6288528442382812
38,44,1968,Rhode Island,RI,385,247,122,0.3306232988834381,0.6693766713142395,16472.361328125,1.6472361087799072
39,45,1968,South Carolina,SC,667,197,254,0.5631929039955139,0.4368070960044861,12026.1494140625,1.2026149034500122
40,46,1968,South Dakota,SD,281,118,150,0.5597015023231506,0.44029849767684937,12864.08984375,1.2864090204238892
41,47,1968,Tennessee,TN,1249,351,473,0.5740291476249695,0.4259708821773529,12603.3017578125,1.2603302001953125
