group,calories
kid_cooks,435.16
kid_cooks,338.99
kid_cooks,488.73
kid_cooks,590.28
kid_cooks,582.59
kid_cooks,635.21
kid_cooks,249.86
kid_cooks,441.66
kid_cooks,572.43
kid_cooks,357.78
kid_cooks,396.79
kid_cooks,298.38
kid_cooks,282.99
kid_cooks,368.51
kid_cooks,388.59
kid_cooks,256.32
kid_cooks,408.82
kid_cooks,424.94
kid_cooks,477.96
kid_cooks,428.74
kid_cooks,432.52
kid_cooks,428.27
kid_cooks,596.79
kid_cooks,456.3
kid_cooks,446.38
parent_cooks,414.61
parent_cooks,503.46
parent_cooks,425.22
parent_cooks,288.77
parent_cooks,184
parent_cooks,299.73
parent_cooks,350.65
parent_cooks,394.94
parent_cooks,261.55
parent_cooks,295.28
parent_cooks,139.69
parent_cooks,462.78
parent_cooks,179.59
parent_cooks,301.75
parent_cooks,436.58
parent_cooks,371.39
parent_cooks,469.02
parent_cooks,378.09
parent_cooks,287.31
parent_cooks,448.55
parent_cooks,332.64
parent_cooks,403.98
