before_deprivation,after_deprivation
249.56,290.1486
258.7047,430.5853
222.7339,217.7272
205.2658,224.2957
199.0539,255.7511
194.3322,261.0125
321.5426,318.2613
300.4002,305.3495
287.6079,334.8177
285,293.7469
234.8606,346.8311
242.8118,330.3003
283.8424,348.8399
289.555,333.36
265.4731,331.5229
276.2012,335.7469
241.6083,235.311
273.9472,235.7541
312.3666,416.6923
313.8058,455.8643
236.1032,308.102
230.3167,336.2806
256.2968,362.9184
243.4543,394.4872
250.5265,266.5955
300.0576,321.5418
221.6771,360.4326
298.1939,375.6406
271.9235,348.1229
268.4369,340.28
225.264,347.5855
234.5235,365.163
269.8804,304.6306
272.4428,350.7807
269.4117,343.2199
273.474,369.1417
