year,month,temp
1946,1,-8.2
1946,2,-28.7
1946,3,-39.6
1946,4,-44.1
1946,5,-32.3
1946,6,-22.3
1946,7,-6
1946,8,5
1946,9,16.6
1946,10,20.1
1946,11,15
1946,12,6.7
1947,1,-2.5
1947,2,-27.9
1947,3,-42.9
1947,4,-41.8
1947,5,-38
1947,6,-19.6
1947,7,-5.6
1947,8,6.6
1947,9,16.1
1947,10,20.5
1947,11,17.5
1947,12,6.5
1948,1,-4.3
1948,2,-23.9
1948,3,-39.4
1948,4,-40
1948,5,-36
1948,6,-24.2
1948,7,-6.4
1948,8,7.2
1948,9,17.8
1948,10,19.2
1948,11,16
1948,12,9
1949,1,-6.7
1949,2,-32.1
1949,3,-43.9
1949,4,-42.8
1949,5,-36.3
1949,6,-22.5
1949,7,-6.1
1949,8,5.9
1949,9,15
1949,10,17.2
1949,11,13.2
1949,12,4
1950,1,-7.6
1950,2,-32.4
1950,3,-46
1950,4,-44.9
1950,5,-39.8
1950,6,-24.3
1950,7,-9.4
1950,8,5.7
1950,9,13.7
1950,10,17.6
1950,11,15.6
1950,12,8.2
1951,1,-4.1
1951,2,-24.7
1951,3,-33.3
1951,4,-48.9
1951,5,-40.9
1951,6,-20.1
1951,7,-7
1951,8,4.5
1951,9,14.2
1951,10,21.7
1951,11,16.5
1951,12,6.5
1952,1,-10.5
1952,2,-37.5
1952,3,-43.3
1952,4,-41.2
1952,5,-34.6
1952,6,-20.6
1952,7,-4.5
1952,8,9.4
1952,9,15.1
1952,10,16.8
1952,11,13.9
1952,12,5.8
1953,1,-7.7
1953,2,-31.3
1953,3,-38.6
1953,4,-42.9
1953,5,-33.1
1953,6,-24.6
1953,7,-6.1
1953,8,3.5
1953,9,16.6
1953,10,20.7
1953,11,16.5
1953,12,4.7
1954,1,-9.1
1954,2,-32.1
1954,3,-41
1954,4,-40.1
1954,5,-37.5
1954,6,-26.7
1954,7,-9.2
1954,8,7.9
1954,9,15.7
1954,10,16.9
1954,11,14.6
1954,12,5.4
1955,1,-6.7
1955,2,-27.7
1955,3,-44.5
1955,4,-43.8
1955,5,-37.8
1955,6,-25.2
1955,7,-10.5
1955,8,3.2
1955,9,16.3
1955,10,19.5
1955,11,14.5
1955,12,6.7
1956,1,-11.5
1956,2,-26.5
1956,3,-36.6
1956,4,-36.9
1956,5,-38.9
1956,6,-22.7
1956,7,-6.3
1956,8,6.6
1956,9,15.2
1956,10,18.7
1956,11,15.5
1956,12,4.3
1957,1,-9.8
1957,2,-29.6
1957,3,-38.1
1957,4,-44.3
1957,5,-36
1957,6,-25.7
1957,7,-7.7
1957,8,5.4
1957,9,12.4
1957,10,17.7
1957,11,14.9
1957,12,6.7
1958,1,-11
1958,2,-29.6
1958,3,-41.9
1958,4,-45.1
1958,5,-33.4
1958,6,-16.3
1958,7,-8.5
1958,8,6.2
1958,9,18.4
1958,10,16
1958,11,17.8
1958,12,8.3
1959,1,-7.7
1959,2,-23.4
1959,3,-38.2
1959,4,-44.9
1959,5,-36.1
1959,6,-25.3
1959,7,-9.7
1959,8,7
1959,9,16.5
1959,10,18.7
1959,11,13.7
1959,12,5.9
1960,1,-10.7
1960,2,-29.9
1960,3,-42.2
1960,4,-46.7
1960,5,-34.9
1960,6,-23.1
1960,7,-7.9
1960,8,4.8
1960,9,15.8
1960,10,18.1
1960,11,15.9
1960,12,7.6
1961,1,-7.9
1961,2,-26
1961,3,-34.3
1961,4,-36.9
1961,5,-31
1961,6,-22.5
1961,7,-7.3
1961,8,5.9
1961,9,14.2
1961,10,18.9
1961,11,16.1
1961,12,4.8
1962,1,-7.4
1962,2,-29.5
1962,3,-39.3
1962,4,-32.7
1962,5,-32.7
1962,6,-20.5
1962,7,-9.1
1962,8,3.2
1962,9,15
1962,10,18.5
1962,11,15.8
1962,12,6.5
1963,1,-7.4
1963,2,-23.9
1963,3,-36.7
1963,4,-37.4
1963,5,-36.5
1963,6,-21.7
1963,7,-9.2
1963,8,4.4
1963,9,14.4
1963,10,18.9
1963,11,13.8
1963,12,3.8
1964,1,-9.7
1964,2,-30.1
1964,3,-42.6
1964,4,-43.2
1964,5,-38.3
1964,6,-23.7
1964,7,-6.7
1964,8,5.3
1964,9,13.4
1964,10,18.4
1964,11,15
1964,12,6.9
1965,1,-8
1965,2,-31.1
1965,3,-46.3
1965,4,-42.1
1965,5,-42.4
1965,6,-24
1965,7,-7.4
1965,8,6.2
1965,9,16.6
1965,10,16.5
1965,11,14.2
1965,12,4.5
1966,1,-8.7
1966,2,-31.8
1966,3,-38
1966,4,-41.4
1966,5,-37.1
1966,6,-24
1966,7,-6.8
1966,8,5.8
1966,9,16.5
1966,10,19.2
1966,11,13.6
1966,12,4.4
1967,1,-5.4
1967,2,-29
1967,3,-40
1967,4,-44.4
1967,5,-31.4
1967,6,-16.8
1967,7,-0.2
1967,8,7.8
1967,9,15.6
1967,10,18.3
1967,11,14.4
1967,12,6
1968,1,-7.3
1968,2,-31.1
1968,3,-40.6
1968,4,-41.9
1968,5,-44.1
1968,6,-26.1
1968,7,-9.2
1968,8,6.5
1968,9,14.5
1968,10,18.4
1968,11,18
1968,12,3.1
1969,1,-7.6
1969,2,-31.3
1969,3,-42.7
1969,4,-42.1
1969,5,-35.6
1969,6,-22
1969,7,-7.1
1969,8,3.9
1969,9,13.5
1969,10,21.9
1969,11,13.2
1969,12,7.3
1970,1,-12
1970,2,-28.8
1970,3,-42
1970,4,-43.2
1970,5,-37.6
1970,6,-21.2
1970,7,-7.5
1970,8,8.7
1970,9,16.4
1970,10,19.6
1970,11,14.8
1970,12,6.9
1971,1,-6
1971,2,-27.1
1971,3,-39.2
1971,4,-47.1
1971,5,-37.6
1971,6,-22.4
1971,7,-4.7
1971,8,5.2
1971,9,13.2
1971,10,18.6
1971,11,12.8
1971,12,6.2
1972,1,-6.5
1972,2,-33.2
1972,3,-39
1972,4,-37
1972,5,-34.9
1972,6,-22.2
1972,7,-9.3
1972,8,8.8
1972,9,16.9
1972,10,21.1
1972,11,16.8
1972,12,7.8
1973,1,-7.9
1973,2,-33.7
1973,3,-40.9
1973,4,-38.5
1973,5,-38.4
1973,6,-23.6
1973,7,-5
1973,8,8.7
1973,9,13.9
1973,10,18.9
1973,11,14.7
1973,12,5.8
1974,1,-10.1
1974,2,-29.3
1974,3,-42.3
1974,4,-38.5
1974,5,-38.2
1974,6,-16.8
1974,7,-3.3
1974,8,9.4
1974,9,18.1
1974,10,17
1974,11,13.3
1974,12,5.4
1975,1,-6.9
1975,2,-27.2
1975,3,-32.6
1975,4,-39.3
1975,5,-36.9
1975,6,-22.5
1975,7,-2.4
1975,8,6.3
1975,9,15
1975,10,17.1
1975,11,15.8
1975,12,6.5
1976,1,-9
1976,2,-31.5
1976,3,-39.9
1976,4,-41.1
1976,5,-38.7
1976,6,-23.3
1976,7,-6.8
1976,8,8.9
1976,9,16.7
1976,10,16.7
1976,11,13.7
1976,12,3.9
1977,1,-12.3
1977,2,-31.2
1977,3,-38.9
1977,4,-44.6
1977,5,-34.4
1977,6,-20.1
1977,7,-1.8
1977,8,5.2
1977,9,15.5
1977,10,16.9
1977,11,15.9
1977,12,5.1
1978,1,-7.8
1978,2,-22
1978,3,-42.2
1978,4,-43.7
1978,5,-36.6
1978,6,-25.9
1978,7,-6.6
1978,8,7.2
1978,9,14.2
1978,10,16.1
1978,11,13.7
1978,12,4.6
1979,1,-12.8
1979,2,-33.4
1979,3,-34.6
1979,4,-36.8
1979,5,-34.1
1979,6,-23.1
1979,7,-5
1979,8,7.2
1979,9,16.1
1979,10,19.3
1979,11,14.5
1979,12,3.9
1980,1,-8.6
1980,2,-30.4
1980,3,-36.5
1980,4,-43.1
1980,5,-34.8
1980,6,-23.6
1980,7,-5
1980,8,7.5
1980,9,13.4
1980,10,19.4
1980,11,12.7
1980,12,5.6
1981,1,-13.5
1981,2,-36.6
1981,3,-41.3
1981,4,-43.1
1981,5,-34.8
1981,6,-23.6
1981,7,-5
1981,8,7.5
1981,9,13.4
1981,10,19.4
1981,11,12.7
1981,12,5.6
1982,1,-13.5
1982,2,-36.6
1982,3,-41.3
1982,4,-40.6
1982,5,-37.7
1982,6,-18
1982,7,-6.1
1982,8,7.9
1982,9,16
1982,10,19
1982,11,17.4
1982,12,10.9
1983,1,-9.3
1983,2,-20.8
1983,3,-37.9
1983,4,-35.8
1983,5,-36
1983,6,-21.5
1983,7,-4.2
1983,8,9.8
1983,9,14.1
