item,my_grades
Reserve category,0
session_01_status,attended
session_01_wooclap,100
session_01_tutor,100
session_01_post_test,
session_01_tutor_timing,on_time
session_02_status,attended
session_02_wooclap,100
session_02_tutor,100
session_02_post_test,
session_02_tutor_timing,on_time
session_03_status,attended
session_03_wooclap,100
session_03_tutor,100
session_03_post_test,
session_03_tutor_timing,on_time
session_04_status,attended
session_04_wooclap,100
session_04_tutor,100
session_04_post_test,
session_04_tutor_timing,on_time
session_05_status,attended
session_05_wooclap,100
session_05_tutor,100
session_05_post_test,
session_05_tutor_timing,on_time
session_06_status,attended
session_06_wooclap,100
session_06_tutor,100
session_06_post_test,
session_06_tutor_timing,on_time
session_07_status,attended
session_07_wooclap,100
session_07_tutor,100
session_07_post_test,
session_07_tutor_timing,on_time
session_08_status,attended
session_08_wooclap,100
session_08_tutor,100
session_08_post_test,
session_08_tutor_timing,on_time
session_09_status,attended
session_09_wooclap,100
session_09_tutor,100
session_09_post_test,
session_09_tutor_timing,on_time
session_10_status,attended
session_10_wooclap,100
session_10_tutor,100
session_10_post_test,
session_10_tutor_timing,on_time
session_11_status,attended
session_11_wooclap,100
session_11_tutor,100
session_11_post_test,
session_11_tutor_timing,on_time
session_12_status,attended
session_12_wooclap,100
session_12_tutor,100
session_12_post_test,
session_12_tutor_timing,on_time
assignment_1_grade,100
assignment_1_quiz_passed,yes
assignment_2_grade,100
assignment_2_quiz_passed,yes
assignment_3_grade,100
assignment_3_quiz_passed,yes
midterm_grade,100
final_exam_grade,100
